"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","igc-sante.esante.gouv.fr/185.231.164.125","443","INFO","HTTP","",""
"pre_128cipher","igc-sante.esante.gouv.fr/185.231.164.125","443","INFO","No 128 cipher limit bug","",""
"SSLv2","igc-sante.esante.gouv.fr/185.231.164.125","443","OK","not offered","",""
"SSLv3","igc-sante.esante.gouv.fr/185.231.164.125","443","OK","not offered","",""
"TLS1","igc-sante.esante.gouv.fr/185.231.164.125","443","INFO","not offered","",""
"TLS1_1","igc-sante.esante.gouv.fr/185.231.164.125","443","INFO","not offered","",""
"TLS1_2","igc-sante.esante.gouv.fr/185.231.164.125","443","OK","offered","",""
"TLS1_3","igc-sante.esante.gouv.fr/185.231.164.125","443","OK","offered with final","",""
"ALPN_HTTP2","igc-sante.esante.gouv.fr/185.231.164.125","443","OK","h2","",""
"ALPN","igc-sante.esante.gouv.fr/185.231.164.125","443","INFO","http/1.1","",""
"cipherlist_NULL","igc-sante.esante.gouv.fr/185.231.164.125","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","igc-sante.esante.gouv.fr/185.231.164.125","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","igc-sante.esante.gouv.fr/185.231.164.125","443","OK","not offered","","CWE-327"
"cipherlist_LOW","igc-sante.esante.gouv.fr/185.231.164.125","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","igc-sante.esante.gouv.fr/185.231.164.125","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","igc-sante.esante.gouv.fr/185.231.164.125","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","igc-sante.esante.gouv.fr/185.231.164.125","443","INFO","not offered","",""
"cipherlist_STRONG_FS","igc-sante.esante.gouv.fr/185.231.164.125","443","OK","offered","",""
"cipher_order-tls1_2","igc-sante.esante.gouv.fr/185.231.164.125","443","OK","server","",""
"cipherorder_TLSv1_2","igc-sante.esante.gouv.fr/185.231.164.125","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","igc-sante.esante.gouv.fr/185.231.164.125","443","OK","server","",""
"FS","igc-sante.esante.gouv.fr/185.231.164.125","443","OK","offered","",""
"FS_ciphers","igc-sante.esante.gouv.fr/185.231.164.125","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_KEMs","igc-sante.esante.gouv.fr/185.231.164.125","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","igc-sante.esante.gouv.fr/185.231.164.125","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","igc-sante.esante.gouv.fr/185.231.164.125","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","igc-sante.esante.gouv.fr/185.231.164.125","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","igc-sante.esante.gouv.fr/185.231.164.125","443","INFO","yes","",""
"sessionresumption_ticket","igc-sante.esante.gouv.fr/185.231.164.125","443","INFO","not supported","",""
"sessionresumption_ID","igc-sante.esante.gouv.fr/185.231.164.125","443","INFO","not supported","",""
"TLS_timestamp","igc-sante.esante.gouv.fr/185.231.164.125","443","INFO","random","",""
"certificate_compression","igc-sante.esante.gouv.fr/185.231.164.125","443","INFO","none","",""
"clientAuth","igc-sante.esante.gouv.fr/185.231.164.125","443","INFO","none","",""
"cert_numbers","igc-sante.esante.gouv.fr/185.231.164.125","443","INFO","1","",""
"cert_signatureAlgorithm","igc-sante.esante.gouv.fr/185.231.164.125","443","OK","SHA256 with RSA","",""
"cert_keySize","igc-sante.esante.gouv.fr/185.231.164.125","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","igc-sante.esante.gouv.fr/185.231.164.125","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","igc-sante.esante.gouv.fr/185.231.164.125","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","igc-sante.esante.gouv.fr/185.231.164.125","443","INFO","03CD99FA6807E31B63357DF73B07C4AAED4C","",""
"cert_serialNumberLen","igc-sante.esante.gouv.fr/185.231.164.125","443","INFO","18","",""
"cert_fingerprintSHA1","igc-sante.esante.gouv.fr/185.231.164.125","443","INFO","09E2E162FEA7D78A7A40DF3954AED973652F7526","",""
"cert_fingerprintSHA256","igc-sante.esante.gouv.fr/185.231.164.125","443","INFO","30461223CF67262BFA26F257DBF46C0067479CF9A1D2FB89DF005895CE9612C3","",""
