"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","annuaire.sante.fr/193.149.118.151","443","INFO","HTTP","",""
"pre_128cipher","annuaire.sante.fr/193.149.118.151","443","INFO","No 128 cipher limit bug","",""
"SSLv2","annuaire.sante.fr/193.149.118.151","443","OK","not offered","",""
"SSLv3","annuaire.sante.fr/193.149.118.151","443","OK","not offered","",""
"TLS1","annuaire.sante.fr/193.149.118.151","443","LOW","offered (deprecated)","",""
"TLS1_1","annuaire.sante.fr/193.149.118.151","443","LOW","offered (deprecated)","",""
"TLS1_2","annuaire.sante.fr/193.149.118.151","443","OK","offered","",""
"TLS1_3","annuaire.sante.fr/193.149.118.151","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","annuaire.sante.fr/193.149.118.151","443","INFO","not offered","",""
"cipherlist_NULL","annuaire.sante.fr/193.149.118.151","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","annuaire.sante.fr/193.149.118.151","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","annuaire.sante.fr/193.149.118.151","443","OK","not offered","","CWE-327"
"cipherlist_LOW","annuaire.sante.fr/193.149.118.151","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","annuaire.sante.fr/193.149.118.151","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","annuaire.sante.fr/193.149.118.151","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","annuaire.sante.fr/193.149.118.151","443","OK","offered","",""
"cipherlist_STRONG","annuaire.sante.fr/193.149.118.151","443","OK","offered","",""
"cipherorder_TLSv1","annuaire.sante.fr/193.149.118.151","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipherorder_TLSv1_1","annuaire.sante.fr/193.149.118.151","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipherorder_TLSv1_2","annuaire.sante.fr/193.149.118.151","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","annuaire.sante.fr/193.149.118.151","443","OK","server","",""
"protocol_negotiated","annuaire.sante.fr/193.149.118.151","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","annuaire.sante.fr/193.149.118.151","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 256 bit ECDH (P-256)","",""
"FS","annuaire.sante.fr/193.149.118.151","443","OK","offered","",""
"FS_ciphers","annuaire.sante.fr/193.149.118.151","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","annuaire.sante.fr/193.149.118.151","443","OK","secp256k1 prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","annuaire.sante.fr/193.149.118.151","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'heartbeat/#15'","",""
"TLS_session_ticket","annuaire.sante.fr/193.149.118.151","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","annuaire.sante.fr/193.149.118.151","443","INFO","yes","",""
"sessionresumption_ticket","annuaire.sante.fr/193.149.118.151","443","INFO","supported","",""
"sessionresumption_ID","annuaire.sante.fr/193.149.118.151","443","INFO","supported","",""
"TLS_timestamp","annuaire.sante.fr/193.149.118.151","443","INFO","random","",""
"cert_compression","annuaire.sante.fr/193.149.118.151","443","INFO","N/A","",""
"clientAuth","annuaire.sante.fr/193.149.118.151","443","INFO","none","",""
"cert_numbers","annuaire.sante.fr/193.149.118.151","443","INFO","1","",""
"cert_signatureAlgorithm","annuaire.sante.fr/193.149.118.151","443","OK","SHA256 with RSA","",""
"cert_keySize","annuaire.sante.fr/193.149.118.151","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","annuaire.sante.fr/193.149.118.151","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","annuaire.sante.fr/193.149.118.151","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","annuaire.sante.fr/193.149.118.151","443","INFO","024E7A43596C9A331B1D67BFA74766EB","",""
"cert_serialNumberLen","annuaire.sante.fr/193.149.118.151","443","INFO","16","",""
"cert_fingerprintSHA1","annuaire.sante.fr/193.149.118.151","443","INFO","1A60311B71E7A90D1AA015738756D674219116E1","",""
"cert_fingerprintSHA256","annuaire.sante.fr/193.149.118.151","443","INFO","6BFF3B50745A9027F01D7D019E426DB7876459221256981315D3DCF2A95494C7","",""
"cert","annuaire.sante.fr/193.149.118.151","443","INFO","-----BEGIN CERTIFICATE----- MIIGfjCCBWagAwIBAgIQAk56Q1lsmjMbHWe/p0dm6zANBgkqhkiG9w0BAQsFADBc MQswCQYDVQQGEwJVUzEVMBMGA1UEChMMRGlnaUNlcnQgSW5jMRkwFwYDVQQLExB3 d3cuZGlnaWNlcnQuY29tMRswGQYDVQQDExJUaGF3dGUgUlNBIENBIDIwMTgwHhcN MjAwNzAxMDAwMDAwWhcNMjIwNzAxMTIwMDAwWjB5MQswCQYDVQQGEwJGUjEXMBUG A1UECAwOw45sZS1kZS1GcmFuY2UxDjAMBgNVBAcTBVBBUklTMSUwIwYDVQQKExxB R0VOQ0UgRFUgTlVNRVJJUVVFIEVOIFNBTlRFMRowGAYDVQQDExFhbm51YWlyZS5z YW50ZS5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBANjH5TEaVovy fxWlGFa/BLOFvRAxcCyk2xmf124Okf7mdm/644c5iylj+nq7dBs4PtACaYgCycfQ Pf3wiH8OCb8fJl2oTcULdiVRZYnXnP2b9RWoda7kaw37xZ2ynNA6AChkoDT47bYD Vw3ayqXuqedXqokJeXSiYGY+emsLgZVIWikkZRs7enhxnu93XmXKnYyhQ0sVRgqD urfZ7NUs71T+JQgKS/Xmb9hvn1fq1I6rF4OqnRq9sKZjva1Kw+nm8Dldra7UB+bH u3fbc9bD7kmsVU29doc3OMLeCNjQ8L3o6+/RdotbPhymauUD5Onq9+kI6PdYPgBc xIjEenflb5ECAwEAAaOCAx0wggMZMB8GA1UdIwQYMBaAFKPIXmVU5TB4wQXqBwpq Wcy5/t5aMB0GA1UdDgQWBBSrJkHR17VxW228YDZSD4jqwJJJrDAcBgNVHREEFTAT ghFhbm51YWlyZS5zYW50ZS5mcjAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYI KwYBBQUHAwEGCCsGAQUFBwMCMDoGA1UdHwQzMDEwL6AtoCuGKWh0dHA6Ly9jZHAu dGhhd3RlLmNvbS9UaGF3dGVSU0FDQTIwMTguY3JsMEwGA1UdIARFMEMwNwYJYIZI AYb9bAEBMCowKAYIKwYBBQUHAgEWHGh0dHBzOi8vd3d3LmRpZ2ljZXJ0LmNvbS9D UFMwCAYGZ4EMAQICMG8GCCsGAQUFBwEBBGMwYTAkBggrBgEFBQcwAYYYaHR0cDov L3N0YXR1cy50aGF3dGUuY29tMDkGCCsGAQUFBzAChi1odHRwOi8vY2FjZXJ0cy50 aGF3dGUuY29tL1RoYXd0ZVJTQUNBMjAxOC5jcnQwDAYDVR0TAQH/BAIwADCCAX8G CisGAQQB1nkCBAIEggFvBIIBawFpAHYARqVV63X6kSAwtaKJafTzfREsQXS+/Um4 havy/HD+bUcAAAFzCmNRnwAABAMARzBFAiEA2p4XZXcVKVb3Q1zgowIAjKGGQkkw 7DjheEXU0g8Pf+ICIEmiAdg5JTrMCQuvGSeh2y9kitH0TPVmnMK/0ApzfwYOAHYA IkVFB1lVJFaWP6Ev8fdthuAjJmOtwEt/XcaDXG7iDwIAAAFzCmNRgwAABAMARzBF AiEA+nqEcmwRBU2JkoufwaKkNV5Kc9QtQ18/3THCILckdaECIGbQVlc1gqxiLrSL WYbKLVh2FPY2gxeF9fceXAE/pxUbAHcAUaOw9f0BeZxWbbg3eI8MpHrMGyfL956I QpoN/tSLBeUAAAFzCmNRzwAABAMASDBGAiEA34Soe056JkLRg7OTqEN5afMa9RmU e2brX8Dt2bK8Ul0CIQDDfPCt9k3uQlGh/OnyMSeOKs3gtS8XdY2A0s+B8gQG2TAN BgkqhkiG9w0BAQsFAAOCAQEAPgFlOKcLHaKWxMyK9XdaEEd4P79sw81T67jcjfNW iwfZpXwCe5BBTLNEuqnf86Twvdsn2G4kagONSdbpEuTrjBgULDWM0irY6QIB84ku XM01WoX11meeUrEWRzukOja58iaOVNihSYlMbuthiUactxq9Izm6Jd+Rr3aLZ9lB 45/uRa8E70IUNjS7HyGlvWVtaxfu+AYQNjXtMN2IBsqa0ycdRGcVVYJ2E7+1N+KC 1H0WFc4cxX159dt24F+rMlOZshCWD5/s62PbTxQKPRdiV2ThS6J/ps1OBpn7AfcB 8XInRNyCFgGw9J3sSTnBaxMMTNA5k4fLhKUCdwTRfkd2SA== -----END CERTIFICATE-----","",""
"cert_commonName","annuaire.sante.fr/193.149.118.151","443","OK","annuaire.sante.fr","",""
"cert_commonName_wo_SNI","annuaire.sante.fr/193.149.118.151","443","INFO","annuaire.sante.fr","",""
"cert_subjectAltName","annuaire.sante.fr/193.149.118.151","443","INFO","annuaire.sante.fr","",""
"cert_trust","annuaire.sante.fr/193.149.118.151","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","annuaire.sante.fr/193.149.118.151","443","OK","passed.","",""
"cert_certificatePolicies_EV","annuaire.sante.fr/193.149.118.151","443","INFO","no","",""
"cert_expirationStatus","annuaire.sante.fr/193.149.118.151","443","OK","73 >= 60 days","",""
"cert_notBefore","annuaire.sante.fr/193.149.118.151","443","INFO","2020-07-01 00:00","",""
"cert_notAfter","annuaire.sante.fr/193.149.118.151","443","OK","2022-07-01 12:00","",""
"cert_extlifeSpan","annuaire.sante.fr/193.149.118.151","443","INFO","730 =< 398 days","",""
"cert_eTLS","annuaire.sante.fr/193.149.118.151","443","INFO","not present","",""
"cert_crlDistributionPoints","annuaire.sante.fr/193.149.118.151","443","INFO","http://cdp.thawte.com/ThawteRSACA2018.crl","",""
"cert_ocspURL","annuaire.sante.fr/193.149.118.151","443","INFO","http://status.thawte.com","",""
"OCSP_stapling","annuaire.sante.fr/193.149.118.151","443","LOW","not offered","",""
"cert_mustStapleExtension","annuaire.sante.fr/193.149.118.151","443","INFO","--","",""
"DNS_CAArecord","annuaire.sante.fr/193.149.118.151","443","LOW","--","",""
"certificate_transparency","annuaire.sante.fr/193.149.118.151","443","OK","yes (certificate extension)","",""
"certs_countServer","annuaire.sante.fr/193.149.118.151","443","INFO","2","",""
"certs_list_ordering_problem","annuaire.sante.fr/193.149.118.151","443","INFO","no","",""
"cert_caIssuers","annuaire.sante.fr/193.149.118.151","443","INFO","Thawte RSA CA 2018 (DigiCert Inc from US)","",""
"intermediate_cert <#1>","annuaire.sante.fr/193.149.118.151","443","INFO","-----BEGIN CERTIFICATE----- MIIEiTCCA3GgAwIBAgIQAlqK7xlvfg1sIQSyGuZwKzANBgkqhkiG9w0BAQsFADBh MQswCQYDVQQGEwJVUzEVMBMGA1UEChMMRGlnaUNlcnQgSW5jMRkwFwYDVQQLExB3 d3cuZGlnaWNlcnQuY29tMSAwHgYDVQQDExdEaWdpQ2VydCBHbG9iYWwgUm9vdCBD QTAeFw0xNzExMDYxMjIzNTJaFw0yNzExMDYxMjIzNTJaMFwxCzAJBgNVBAYTAlVT MRUwEwYDVQQKEwxEaWdpQ2VydCBJbmMxGTAXBgNVBAsTEHd3dy5kaWdpY2VydC5j b20xGzAZBgNVBAMTElRoYXd0ZSBSU0EgQ0EgMjAxODCCASIwDQYJKoZIhvcNAQEB BQADggEPADCCAQoCggEBAMoIXuVTipccHkMvtoqnVumLhEOorJ16VYJ6FEuGty+P Up8cyrEgW2+6It2mnC142ukGCE6+E6bry7s+uQUMPkrh8DIfE071BsVHc4k+gKOL 8QEkm6OZZpJraK0NLbTNcqL0+ThaZaa0jFPBCBqE+P0u8xF1btxqMSmsDYfMk2B4 3yW6JlmRxoNSNabKnLgoGs7XHO4Uv3ZcZas4HnnpfMxJIyaiUlBm0Flh/6D+mkwM n/nojt4Ji7gVwaQITCacewbb/Yp0W1h+zWOkkS9F8Ho8lAuKfLIFqWeTn2jllWNg 2FiVX+BV75OnETt85pLYZkTgq72nj82khXhBJFTn2AMCAwEAAaOCAUAwggE8MB0G A1UdDgQWBBSjyF5lVOUweMEF6gcKalnMuf7eWjAfBgNVHSMEGDAWgBQD3lA1VtFM u2bwo+IbG8OXsj3RVTAOBgNVHQ8BAf8EBAMCAYYwHQYDVR0lBBYwFAYIKwYBBQUH AwEGCCsGAQUFBwMCMBIGA1UdEwEB/wQIMAYBAf8CAQAwNAYIKwYBBQUHAQEEKDAm MCQGCCsGAQUFBzABhhhodHRwOi8vb2NzcC5kaWdpY2VydC5jb20wQgYDVR0fBDsw OTA3oDWgM4YxaHR0cDovL2NybDMuZGlnaWNlcnQuY29tL0RpZ2lDZXJ0R2xvYmFs Um9vdENBLmNybDA9BgNVHSAENjA0MDIGBFUdIAAwKjAoBggrBgEFBQcCARYcaHR0 cHM6Ly93d3cuZGlnaWNlcnQuY29tL0NQUzANBgkqhkiG9w0BAQsFAAOCAQEARE2F 5d0cgozhZNWokCLfdhhl6mXSOyU3SoPamYcWfLH1CzMwD8a1+pFvwHIQfvlwXFH8 MrjB3C+jVobNbVWRrgqS3Jsa0ltRH/Ffs6ZTgP4WJYm1SNpUbgR7LWUD2F+PTvKB M/gf9eSyqP4OiJslYaa38NU1aVAxZI15o+4xX4RZMqKXIIBTG2V+oPBjQ1oPmHGA C/yWt2eThvb8/re7OpSpUdJyfGf97XeM4PiJAl6+4HQXhjwN7ZPZKrQv9Ay33Mgm YLVQA+x9HONZXx9vvy8pl9bu+NVYWKGxzGxBK0CBozmVUCeXQPJKPTZleYuNM18p U1P8Xh1CDguM+ZEoew== -----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","annuaire.sante.fr/193.149.118.151","443","INFO","9A5EECEE9C7D898BD81DC3BF066DAF6AEFB8DB1C59676206D2BFDD682312C6F6","",""
"intermediate_cert_notBefore <#1>","annuaire.sante.fr/193.149.118.151","443","INFO","2017-11-06 12:23","",""
"intermediate_cert_notAfter <#1>","annuaire.sante.fr/193.149.118.151","443","OK","2027-11-06 12:23","",""
"intermediate_cert_expiration <#1>","annuaire.sante.fr/193.149.118.151","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","annuaire.sante.fr/193.149.118.151","443","INFO","Thawte RSA CA 2018 <-- DigiCert Global Root CA","",""
"intermediate_cert_badOCSP","annuaire.sante.fr/193.149.118.151","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","annuaire.sante.fr/193.149.118.151","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","annuaire.sante.fr/193.149.118.151","443","INFO","0 seconds from localtime","",""
"HTTP_headerTime","annuaire.sante.fr/193.149.118.151","443","INFO","1650364960","",""
"HSTS","annuaire.sante.fr/193.149.118.151","443","LOW","not offered","",""
"HPKP","annuaire.sante.fr/193.149.118.151","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","annuaire.sante.fr/193.149.118.151","443","INFO","Apache","",""
"banner_application","annuaire.sante.fr/193.149.118.151","443","INFO","Liferay-Portal: Liferay Digital Experience Platform 7.0.10 GA1 (Wilberforce / Build 7010 / June 15, 2016)","",""
"cookie_count","annuaire.sante.fr/193.149.118.151","443","INFO","3 at '/'","",""
"cookie_secure","annuaire.sante.fr/193.149.118.151","443","OK","All (3) at '/' marked as secure","",""
"cookie_httponly","annuaire.sante.fr/193.149.118.151","443","OK","All (3) at '/' marked as HttpOnly","",""
"X-Frame-Options_multiple","annuaire.sante.fr/193.149.118.151","443","MEDIUM","Multiple X-Frame-Options headers. Using first header: SAMEORIGIN","",""
"X-Frame-Options","annuaire.sante.fr/193.149.118.151","443","OK","SAMEORIGIN","",""
"X-Content-Type-Options","annuaire.sante.fr/193.149.118.151","443","OK","nosniff","",""
"X-WebKit-CSP","annuaire.sante.fr/193.149.118.151","443","OK","default-src 'self'","",""
"X-XSS-Protection","annuaire.sante.fr/193.149.118.151","443","INFO","1;mode=block","",""
"Cache-Control","annuaire.sante.fr/193.149.118.151","443","INFO","private, no-cache, no-store, must-revalidate","",""
"Pragma","annuaire.sante.fr/193.149.118.151","443","INFO","no-cache","",""
"banner_reverseproxy","annuaire.sante.fr/193.149.118.151","443","INFO","--","","CWE-200"
"heartbleed","annuaire.sante.fr/193.149.118.151","443","OK","not vulnerable , timed out","CVE-2014-0160","CWE-119"
"CCS","annuaire.sante.fr/193.149.118.151","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","annuaire.sante.fr/193.149.118.151","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
"ROBOT","annuaire.sante.fr/193.149.118.151","443","OK","not vulnerable","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","annuaire.sante.fr/193.149.118.151","443","OK","supported","","CWE-310"
"secure_client_renego","annuaire.sante.fr/193.149.118.151","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","annuaire.sante.fr/193.149.118.151","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","annuaire.sante.fr/193.149.118.151","443","OK","not vulnerable, no gzip/deflate/compress/br HTTP compression  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","annuaire.sante.fr/193.149.118.151","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","annuaire.sante.fr/193.149.118.151","443","OK","supported","",""
"SWEET32","annuaire.sante.fr/193.149.118.151","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","annuaire.sante.fr/193.149.118.151","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","annuaire.sante.fr/193.149.118.151","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","annuaire.sante.fr/193.149.118.151","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://censys.io/ipv4?q=6BFF3B50745A9027F01D7D019E426DB7876459221256981315D3DCF2A95494C7","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM-common_primes","annuaire.sante.fr/193.149.118.151","443","INFO","RFC3526/Oakley Group 14","CVE-2015-4000","CWE-310"
"LOGJAM","annuaire.sante.fr/193.149.118.151","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"BEAST_CBC_TLS1","annuaire.sante.fr/193.149.118.151","443","MEDIUM","ECDHE-RSA-AES256-SHA DHE-RSA-AES256-SHA ECDHE-RSA-AES128-SHA DHE-RSA-AES128-SHA AES256-SHA AES128-SHA","CVE-2011-3389","CWE-20"
"BEAST","annuaire.sante.fr/193.149.118.151","443","LOW","VULNERABLE -- but also supports higher protocols  TLSv1.1 TLSv1.2 (likely mitigated)","CVE-2011-3389","CWE-20"
"LUCKY13","annuaire.sante.fr/193.149.118.151","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
"winshock","annuaire.sante.fr/193.149.118.151","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","annuaire.sante.fr/193.149.118.151","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_442","annuaire.sante.fr/193.149.118.151","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_500","annuaire.sante.fr/193.149.118.151","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_60","annuaire.sante.fr/193.149.118.151","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_70","annuaire.sante.fr/193.149.118.151","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_81","annuaire.sante.fr/193.149.118.151","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_90","annuaire.sante.fr/193.149.118.151","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_X","annuaire.sante.fr/193.149.118.151","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-chrome_74_win10","annuaire.sante.fr/193.149.118.151","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-chrome_79_win10","annuaire.sante.fr/193.149.118.151","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-firefox_66_win81","annuaire.sante.fr/193.149.118.151","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-firefox_71_win10","annuaire.sante.fr/193.149.118.151","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-ie_6_xp","annuaire.sante.fr/193.149.118.151","443","INFO","No connection","",""
"clientsimulation-ie_8_win7","annuaire.sante.fr/193.149.118.151","443","INFO","TLSv1.0 ECDHE-RSA-AES256-SHA","",""
"clientsimulation-ie_8_xp","annuaire.sante.fr/193.149.118.151","443","INFO","No connection","",""
