"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","pfc.eservices.esante.gouv.fr/212.234.100.215","443","INFO","HTTP","",""
"pre_128cipher","pfc.eservices.esante.gouv.fr/212.234.100.215","443","INFO","No 128 cipher limit bug","",""
"SSLv2","pfc.eservices.esante.gouv.fr/212.234.100.215","443","OK","not offered","",""
"SSLv3","pfc.eservices.esante.gouv.fr/212.234.100.215","443","OK","not offered","",""
"TLS1","pfc.eservices.esante.gouv.fr/212.234.100.215","443","INFO","not offered","",""
"TLS1_1","pfc.eservices.esante.gouv.fr/212.234.100.215","443","INFO","not offered","",""
"TLS1_2","pfc.eservices.esante.gouv.fr/212.234.100.215","443","OK","offered","",""
"TLS1_3","pfc.eservices.esante.gouv.fr/212.234.100.215","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","pfc.eservices.esante.gouv.fr/212.234.100.215","443","INFO","not offered","",""
"cipherlist_NULL","pfc.eservices.esante.gouv.fr/212.234.100.215","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","pfc.eservices.esante.gouv.fr/212.234.100.215","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","pfc.eservices.esante.gouv.fr/212.234.100.215","443","OK","not offered","","CWE-327"
"cipherlist_LOW","pfc.eservices.esante.gouv.fr/212.234.100.215","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","pfc.eservices.esante.gouv.fr/212.234.100.215","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","pfc.eservices.esante.gouv.fr/212.234.100.215","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","pfc.eservices.esante.gouv.fr/212.234.100.215","443","OK","offered","",""
"cipherlist_STRONG","pfc.eservices.esante.gouv.fr/212.234.100.215","443","OK","offered","",""
"cipherorder_TLSv1_2","pfc.eservices.esante.gouv.fr/212.234.100.215","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","pfc.eservices.esante.gouv.fr/212.234.100.215","443","OK","server","",""
"protocol_negotiated","pfc.eservices.esante.gouv.fr/212.234.100.215","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","pfc.eservices.esante.gouv.fr/212.234.100.215","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 384 bit ECDH (P-384)","",""
"FS","pfc.eservices.esante.gouv.fr/212.234.100.215","443","OK","offered","",""
