"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","pfc.eservices.esante.gouv.fr/212.234.100.215","443","INFO","HTTP","",""
"pre_128cipher","pfc.eservices.esante.gouv.fr/212.234.100.215","443","INFO","No 128 cipher limit bug","",""
"SSLv2","pfc.eservices.esante.gouv.fr/212.234.100.215","443","OK","not offered","",""
"SSLv3","pfc.eservices.esante.gouv.fr/212.234.100.215","443","OK","not offered","",""
"TLS1","pfc.eservices.esante.gouv.fr/212.234.100.215","443","INFO","not offered","",""
"TLS1_1","pfc.eservices.esante.gouv.fr/212.234.100.215","443","INFO","not offered","",""
"TLS1_2","pfc.eservices.esante.gouv.fr/212.234.100.215","443","OK","offered","",""
"TLS1_3","pfc.eservices.esante.gouv.fr/212.234.100.215","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","pfc.eservices.esante.gouv.fr/212.234.100.215","443","INFO","not offered","",""
"cipherlist_NULL","pfc.eservices.esante.gouv.fr/212.234.100.215","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","pfc.eservices.esante.gouv.fr/212.234.100.215","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","pfc.eservices.esante.gouv.fr/212.234.100.215","443","OK","not offered","","CWE-327"
"cipherlist_LOW","pfc.eservices.esante.gouv.fr/212.234.100.215","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","pfc.eservices.esante.gouv.fr/212.234.100.215","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","pfc.eservices.esante.gouv.fr/212.234.100.215","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","pfc.eservices.esante.gouv.fr/212.234.100.215","443","OK","offered","",""
"cipherlist_STRONG_FS","pfc.eservices.esante.gouv.fr/212.234.100.215","443","OK","offered","",""
"cipher_order-tls1_2","pfc.eservices.esante.gouv.fr/212.234.100.215","443","OK","server","",""
"cipherorder_TLSv1_2","pfc.eservices.esante.gouv.fr/212.234.100.215","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","pfc.eservices.esante.gouv.fr/212.234.100.215","443","OK","server","",""
"FS","pfc.eservices.esante.gouv.fr/212.234.100.215","443","OK","offered","",""
"FS_ciphers","pfc.eservices.esante.gouv.fr/212.234.100.215","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
