"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","HTTP","",""
"pre_128cipher","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","No 128 cipher limit bug","",""
"SSLv2","wallet.esw.esante.gouv.fr/23.214.248.88","443","OK","not offered","",""
"SSLv3","wallet.esw.esante.gouv.fr/23.214.248.88","443","OK","not offered","",""
"TLS1","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","not offered","",""
"TLS1_1","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","not offered","",""
"TLS1_2","wallet.esw.esante.gouv.fr/23.214.248.88","443","OK","offered","",""
"TLS1_3","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","http/1.1","",""
"cipherlist_NULL","wallet.esw.esante.gouv.fr/23.214.248.88","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","wallet.esw.esante.gouv.fr/23.214.248.88","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","wallet.esw.esante.gouv.fr/23.214.248.88","443","OK","not offered","","CWE-327"
"cipherlist_LOW","wallet.esw.esante.gouv.fr/23.214.248.88","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","not offered","",""
"cipherlist_STRONG_FS","wallet.esw.esante.gouv.fr/23.214.248.88","443","OK","offered","",""
"cipher_order-tls1_2","wallet.esw.esante.gouv.fr/23.214.248.88","443","OK","server","",""
"cipherorder_TLSv1_2","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","wallet.esw.esante.gouv.fr/23.214.248.88","443","OK","server","",""
"FS","wallet.esw.esante.gouv.fr/23.214.248.88","443","OK","offered","",""
"FS_ciphers","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","wallet.esw.esante.gouv.fr/23.214.248.88","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","wallet.esw.esante.gouv.fr/23.214.248.88","443","OK","prime256v1","",""
"TLS_extensions","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","'server name/#0' 'max fragment length/#1' 'status request/#5' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","yes","",""
"sessionresumption_ticket","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","not supported","",""
"sessionresumption_ID","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","supported","",""
"TLS_timestamp","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","random","",""
"cert_compression","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","N/A","",""
"clientAuth","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","none","",""
"cert_numbers","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","1","",""
"cert_signatureAlgorithm","wallet.esw.esante.gouv.fr/23.214.248.88","443","OK","SHA256 with RSA","",""
"cert_keySize","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","6D3EC61D649590F415FA0396","",""
"cert_serialNumberLen","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","12","",""
"cert_fingerprintSHA1","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","2C898087E530A75BB23D5A651721FD8DE8A4A772","",""
"cert_fingerprintSHA256","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","89E85EDF6A01BF08FF6A9A3271BF896F03839525861A118BBA7A8C7A8DC65E2A","",""
"cert","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","-----BEGIN CERTIFICATE-----\nMIIGfjCCBWagAwIBAgIMbT7GHWSVkPQV+gOWMA0GCSqGSIb3DQEBCwUAMFAxCzAJBgNVBAYTAkJFMRkwFwYDVQQKExBHbG9iYWxTaWduIG52LXNhMSYwJAYDVQQDEx1HbG9iYWxTaWduIFJTQSBPViBTU0wgQ0EgMjAxODAeFw0yNTEyMTgwOTExMDlaFw0yNzAxMTkwOTExMDhaMH0xCzAJBgNVBAYTAkZSMQ0wCwYDVQQIEwROb3JkMRwwGgYDVQQHExNGbGVycy1lbi1Fc2NyZWJpZXV4MR0wGwYDVQQKExRJTVBSSU1FUklFIE5BVElPTkFMRTEiMCAGA1UEAxMZd2FsbGV0LmVzdy5lc2FudGUuZ291di5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAK2thu8AsamB5EkTZMcgI40ThGnzEE+IocmugL/kIn/d/b2wQ8pc5GE88tsF1e+jbxSWHmOgu1ysX2DW/wtJZC6AJHrKC7lV4GpWgi+RhDtb8r3VrYPJf2cXaQVsFoK5JBl0jo48e5g1RrxJ5y9vRUder2/JpCxHJelxwoYNJC/1vaSVkljO1x7vA8Uk7re7YJXmc8w4hw4wIDrK8aLFUfZY+bT1TaVgT9JXPeMLDZGJf/b5i9dFIY2ZiDd3I75GJMKiup4pKeC/s2OhuCkvmUAaxYg0tSvatd+HmZUOzF8SKfIc40wClu1uLVpNDaBAs0nmvvX0JSz1V0JLX+73ytsCAwEAAaOCAykwggMlMA4GA1UdDwEB/wQEAwIFoDAMBgNVHRMBAf8EAjAAMIGOBggrBgEFBQcBAQSBgTB/MEQGCCsGAQUFBzAChjhodHRwOi8vc2VjdXJlLmdsb2JhbHNpZ24uY29tL2NhY2VydC9nc3JzYW92c3NsY2EyMDE4LmNydDA3BggrBgEFBQcwAYYraHR0cDovL29jc3AuZ2xvYmFsc2lnbi5jb20vZ3Nyc2FvdnNzbGNhMjAxODBWBgNVHSAETzBNMEEGCSsGAQQBoDIBFDA0MDIGCCsGAQUFBwIBFiZodHRwczovL3d3dy5nbG9iYWxzaWduLmNvbS9yZXBvc2l0b3J5LzAIBgZngQwBAgIwPAYDVR0RBDUwM4IZd2FsbGV0LmVzdy5lc2FudGUuZ291di5mcoIWYXBpLmVzdy5lc2FudGUuZ291di5mcjAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwHwYDVR0jBBgwFoAU+O9/8s14Z6jeb48kjYjxhwMCs+swHQYDVR0OBBYEFFL0FiR4afuz2fsB4vraJS0EJi7sMIIBfQYKKwYBBAHWeQIEAgSCAW0EggFpAWcAdgAcn2gs6frwRWlQ+BuWiofd2zIQ2EzmyLLjglJKxM9ZnwAAAZswukwHAAAEAwBHMEUCIQD2YrVBqPpCBg45kuo7DmYGIv1eTg/vOtIYgyCQuScagQIgZ4JNgEAd6WcfHUXw9HJFUvsPkEQi3wL4XFoJ2rzktUUAdgBMY9yY5Zwdq4j2Hoo93q6Pq0SjN3tfm5TD+6Gc/MG+JgAAAZswukurAAAEAwBHMEUCIQC78YlDdt9O6hjUKXEgsYvD9aaQC9VVb5/u1c4wy9PoKQIgPnPbxaMm2a7lcEUusZ+upVTUorVF5/Qk8Z6yglSlNa4AdQBgTJqven93XwHUBvySDciZ6wscffjJUhv6+hd3O5eLyQAAAZswukyjAAAEAwBGMEQCIFeKRX+gQC7nbv6wsTZPoOUynpPgEhYDXNQDEJrPpMEkAiAgvscfvc424Wb3l8FCOm4DG371tFWy9K4uxPrn69p9DTANBgkqhkiG9w0BAQsFAAOCAQEAAknBnasYeJwc17dzMJB+WFfU5NmEmnIg7wBJOiL+I+N11IshXWhuyLUqTzxWcSJsnNLWnP0iUVhaZwDgEf2NhDr3MOxzv1ei2BqRzJltdbzI5100Ms6rka66GPLBubFzQqwjxcpGGNgn9EBqeR1DBC+ek1Hn6U5LDu3CJKvaGgeqhcVlXa3pbApC8CVuQV++lqJ5In189F2YvDJDNqkXRhOAVyVOTA/39B8wUWrhzQFQ+YzMsNM3h8M+IA5E30DE1MDcKk04DGuyKRsizbP38Q4zg62nhaPkDamLZhR9ri5zeLE5746tHdx4jwUEdMl/KOqg+EzAfFjUiwr2oSwVaA==\n-----END CERTIFICATE-----","",""
"cert_commonName","wallet.esw.esante.gouv.fr/23.214.248.88","443","OK","wallet.esw.esante.gouv.fr","",""
"cert_commonName_wo_SNI","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","wallet.esw.esante.gouv.fr","",""
"cert_subjectAltName","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","wallet.esw.esante.gouv.fr api.esw.esante.gouv.fr","",""
"cert_trust","wallet.esw.esante.gouv.fr/23.214.248.88","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","wallet.esw.esante.gouv.fr/23.214.248.88","443","OK","passed.","",""
"cert_certificatePolicies_EV","wallet.esw.esante.gouv.fr/23.214.248.88","443","INFO","no","",""
"cert_expirationStatus","wallet.esw.esante.gouv.fr/23.214.248.88","443","OK","359 >= 60 days","",""
