"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.portail.si-samu.fr/160.92.28.35","443","INFO","HTTP","",""
"pre_128cipher","www.portail.si-samu.fr/160.92.28.35","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.portail.si-samu.fr/160.92.28.35","443","OK","not offered","",""
"SSLv3","www.portail.si-samu.fr/160.92.28.35","443","OK","not offered","",""
"TLS1","www.portail.si-samu.fr/160.92.28.35","443","INFO","not offered","",""
"TLS1_1","www.portail.si-samu.fr/160.92.28.35","443","INFO","not offered","",""
"TLS1_2","www.portail.si-samu.fr/160.92.28.35","443","OK","offered","",""
"TLS1_3","www.portail.si-samu.fr/160.92.28.35","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.portail.si-samu.fr/160.92.28.35","443","INFO","not offered","",""
"cipherlist_NULL","www.portail.si-samu.fr/160.92.28.35","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.portail.si-samu.fr/160.92.28.35","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.portail.si-samu.fr/160.92.28.35","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.portail.si-samu.fr/160.92.28.35","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.portail.si-samu.fr/160.92.28.35","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","www.portail.si-samu.fr/160.92.28.35","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.portail.si-samu.fr/160.92.28.35","443","INFO","not offered","",""
"cipherlist_STRONG","www.portail.si-samu.fr/160.92.28.35","443","OK","offered","",""
"cipherorder_TLSv1_2","www.portail.si-samu.fr/160.92.28.35","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.portail.si-samu.fr/160.92.28.35","443","OK","server","",""
"protocol_negotiated","www.portail.si-samu.fr/160.92.28.35","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","www.portail.si-samu.fr/160.92.28.35","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 256 bit ECDH (P-256)","",""
"FS","www.portail.si-samu.fr/160.92.28.35","443","OK","offered","",""
"FS_ciphers","www.portail.si-samu.fr/160.92.28.35","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","www.portail.si-samu.fr/160.92.28.35","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","www.portail.si-samu.fr/160.92.28.35","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","www.portail.si-samu.fr/160.92.28.35","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.portail.si-samu.fr/160.92.28.35","443","INFO","yes","",""
"sessionresumption_ticket","www.portail.si-samu.fr/160.92.28.35","443","INFO","not supported","",""
"sessionresumption_ID","www.portail.si-samu.fr/160.92.28.35","443","INFO","supported","",""
"TLS_timestamp","www.portail.si-samu.fr/160.92.28.35","443","INFO","random","",""
"cert_compression","www.portail.si-samu.fr/160.92.28.35","443","INFO","N/A","",""
"clientAuth","www.portail.si-samu.fr/160.92.28.35","443","INFO","none","",""
"cert_numbers","www.portail.si-samu.fr/160.92.28.35","443","INFO","1","",""
"cert_signatureAlgorithm","www.portail.si-samu.fr/160.92.28.35","443","OK","SHA256 with RSA","",""
"cert_keySize","www.portail.si-samu.fr/160.92.28.35","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.portail.si-samu.fr/160.92.28.35","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.portail.si-samu.fr/160.92.28.35","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.portail.si-samu.fr/160.92.28.35","443","INFO","0E4A35F7023A3A9A7A413E6D5B85EF3F","",""
"cert_serialNumberLen","www.portail.si-samu.fr/160.92.28.35","443","INFO","16","",""
"cert_fingerprintSHA1","www.portail.si-samu.fr/160.92.28.35","443","INFO","8FE363971A60C397804A7236ADCEB85DF2DC9344","",""
